vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	img/vr_field_name	phd_field_name	phispy_field_name	gtdb_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv1.0_group1	vjdbv1.0_group2	vjdbv1.0_group3	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation	vjdbv1.0_field_index	ictv40_i_field_name	vjdbv1.0_index	vjdbv1.0_search_method	vjdbv1.0_default_search
collection_geo_location	Collection Geo Location	Country name and additional identifier like a state abbreviation from where the sample the sequence originates from was collected/sampled.	keyword	public	collection_geo_location							Geo_Location	Geographic Location	geographic location (region and locality)	geographic location (region and locality)					ENA Sample	VJDB Sample	Sample			"[""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample""]"	NCBI Virus|BVBRC	shown until further revised; 			Geo Location	"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list."		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city	Isolate Info	Isolation Metadata	geographic_location	string_ci			(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.			(Recommended) The geographical origin of the sample as defined by the specific region name followed by the locality name.		TEXT_FIELD			USA: NY 	Defined list of countries, provided by the INSDC: State or similar closer region(!)	text	freetext	0ak		metadata	exact	
host_natural_common_name	Host Common Name	Common name of the host the virus sequence was collected from, e.g. human. Currently (v1.0) no ontology is applied.	keyword	public	host_natural_common_name		host common name					Host	Host Common Name	host common name	host common name					ENA Sample	VJDB Sample	Sample		Host	"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Host""]"	NCBI Virus|BVBRC			Not in VJDB, Completly new due to byCovid	Host	The host organism from which the virus was isolated. This is the submitter-provided host organism, not the full host range known for the virus. For more information, see Glossary: Host.			Host Info		host_common_name	string_ci			(Mandatory) Common name of the host, e.g. human			(Mandatory) Common name of the host, e.g. human		TEXT_FIELD	mandatory	mandatory	human	Free text	suggestion	freetext	0al		metadata	exact fuzzy	default search
sequence_length	Sequence Length	Length of the virus sequence in basepairs (bp).	integer	public	sequence_length	sequence_length						Length	Size			sequence_length	sequence_length	sequence_length				Analysis	Sequence		"[""NCBI Virus"", ""BV-BRC"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""Analysis"", ""Sequence""]"	NCBI Virus|BVBRC	Is sequence in the name needed? Length to generic -> Sequence Length (consideration for other data layers); 			Length	Sequence length, the number of nucleotides or amino acids in the sequence.			Genome Statistics	Genome Statistics	genome_length	int											10201	Integer value; Number of basepairs (bp)(!)	text	unique	0am		metadata	range	
molecule_type	Molecule Type	Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications, from NCBI GenBank.	keyword	public	molecule_type	molecule_type	molecule type					Molecule_type										Sample			"[""ENA"", ""NCBI Virus"", ""Sample""]"	NCBI Virus	Should be curated into Baltimore classes; Is this a sequence attribute or sample or both? Represent in naming?; 			Molecule Type	Genome molecule type, type of viral nucleic acid, as provided by ICTV. For more information, see Glossary: Genome Molecule Type.															optional	optional	ssRNA(+)	Defined list of values(!)	combo	controlled_vocabulary	0an		metadata	exact	
sequence_completeness	Genome Completeness	Wether the sequence is a partial or complete sequence in NCBI GenBank.	keyword	public	sequence_completeness	genome_coverage						Nuc_Completeness										Analysis	Sequence		"[""NCBI Virus"", ""Analysis"", ""Sequence""]"	NCBI Virus				Nuc Completeness	Indicates if the nucleotide sequence is complete or partial. Nucleotide sequences are considered complete, if they were submitted as such to GenBank or other INSDC databases. For more information, see Glossary: Nucleotide Completeness.																	partial; complete	"Is ""partial"" or ""complete""(!)"	combo	controlled_vocabulary	0ao		metadata	exact fuzzy	
sequence_completeness_percentage	Genome Completeness Percentage	The level of the sequence completeness compare to the representative sequence in refseq in percentage	float	internal																		Sample		Workflows	"[""Sample"", ""Workflows""]"																											0ap		metadata	range	
organism_name	Organism Name	NCBI GenBank organism name: a taxonomic name at species level or below the species level.	keyword	public								Organism_Name					organism_name					Sample		Virus	"[""NCBI Virus"", ""PHD"", ""Sample"", ""Virus""]"	NCBI Virus	technically sample species or below, take as it is until curation; 	sample_organism_name		Organism Name	Gen Bank organism name, a taxonomic name at species level or below the species level.																	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	Free text; Should be species level or below(!)	suggestion	freetext	0aq		metadata	full fuzzy	default search
submitter_organization	Submitter Organization	Organization the submitter(s) is(are) affiliated with.	keyword	public	submitter_organization	organization						Organization									VJDB Study	Study			"[""NCBI Virus"", ""Study"", ""VJDB Study""]"	NCBI Virus				Organization	Organization or institution the sequence submitters affiliated with, as well as country or location of the organization.		may need to split Organization to submitter_region														mandatory	National Center for Biotechnology Information, NIH	Free text	text	freetext	0ar		metadata	full fuzzy	
sequence_repository_release_date	Release Date	Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).	date	public	sequence_repository_release_date	source_release_date		SEQUENCE. PUSHED_TO_DWH				Release_Date										Study	Sequence		"[""RKI"", ""NCBI Virus"", ""Study"", ""Sequence""]"	NCBI Virus		update definition (genbank, bvbrc)		Release Date	The date when the sequence was released in the GenBank.																	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext	0as		metadata	range	
sequence_segment_name	Segment Name	Name of the virus segment. Can be a number.	keyword	public	sequence_segment_name	segment_name						Segment										Sample	Sequence		"[""NCBI Virus"", ""Sample"", ""Sequence""]"	NCBI Virus				Segment	Segment name or number representing a genome segment. For more information, see Clossary: Segment.																	spike; 1; whole genome	Free text	text	freetext	0at		metadata	exact	
sra_accession_id	SRA Accession	NCBI Sequence Read Archive (SRA) Accession.	keyword	public	sra_accession_id	sra_accession						SRA_Accession	SRA Accession									Study	Identifier		"[""NCBI Virus"", ""BV-BRC"", ""Study"", ""Identifier""]"	NCBI Virus|BVBRC	no example needed			SRA accession	NCBI Sequence Read Archive (SRA) accession number.			DB Cross Reference		sra_accession	string													text	freetext	0au		metadata	exact	default search
submitter	Submitter	Name(s) of the submitter(s) of the virus sequence.	keyword	public	submitter	submitter						Submitters									VJDB Study	Study			"[""NCBI Virus"", ""Study"", ""VJDB Study""]"	NCBI Virus				Submitters	Authors who submitted the sequences.																mandatory	Zuckerman,N., Mandelboim,M.	Free text	text	freetext	0av		metadata	exact fuzzy	
collection_source_host_tissue	Collection Source Host Tissue	Tissue, Specimen or Source of the superhost from which the sample the virus sequence originates from was collected or sampled.	keyword	public	collection_source_host_tissue	host_tissue	isolation source host-associated	SEQUENCE. SAMPLE_TYPE; different vocabulary	env_medium? more or less			Tissue_Specimen_Source		isolation source host-associated	isolation source host-associated					ENA Sample	VJDB Sample	Sample			"[""ENA"", ""RKI"", ""MIGS-VI"", ""NCBI Virus"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample""]"	NCBI Virus	Plan about sources and vocabularies, RKI different from ENA, what about NCBI and environmental, leave it like that for now with NCBi input; 	collection_source_host_associated		Tissue/Specimen Source	Isolation source, part of the host organism, where the sample was obtained. For more information, see Glossary: Tissue/Specimen/Source.		split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue							(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue			(Recommended) Name of host tissue or organ sampled for analysis. example: tracheal tissue		TEXT_FIELD	recommended	recommended	brain; water; venom gland	Free text	combo	controlled_vocabulary	0aw		metadata	full fuzzy	
ncbi_usa	NCBI USA	State/Region where the sample the sequence originates from was collected/sampled.	keyword	internal								USA										Sample	Collection		"[""NCBI Virus"", ""Sample"", ""Collection""]"	NCBI Virus	This is defined different from the duplicate below. Meaning for submission Tool was to have a geographical level higher than countries (continents). We keep it (mostly redundant), might be useful for later curation; 	collection_region		USA	The name of US state, if sample was collected in USA.		concatenate to collection_region															NY; FL	State abbreviation(!)	combo	controlled_vocabulary	0ax		metadata	exact	
analysis_accession_id	Analysis Accession	ENA analysis object Accession.	keyword	internal	analysis_accession_id		analysis accession													ENA Analysis	VJDB Analysis	Organizational	Identifier		"[""ENA"", ""Organizational"", ""ENA Analysis"", ""VJDB Analysis"", ""Identifier""]"		no example needed	keep internally	Not in VJDB, Completly new due to byCovid																					text	unique	0ay		metadata	exact	
assembly_level	Assembly Level	The level of the Assembly (contig, scaffold, chromosome, complete genome).	keyword	private	assembly_level	assembly_level	assembly level													ENA Analysis	VJDB Analysis	Internal		Workflows	"[""ENA"", ""Internal"", ""ENA Analysis"", ""VJDB Analysis"", ""Workflows""]"		apply customization to vjdb , e.g. chromosome to genome or something; input not yet defined	keep internally	Not public in VJDB, but is already in database																	mandatory	mandatory			combo	controlled_vocabulary	0az		metadata	exact fuzzy	
assembly_min_gap_length	Min Gap Length	Minimum length of consecutive Ns to be considered a gap.	integer	private	assembly_min_gap_length		assembly description													ENA Analysis	VJDB Analysis	Internal		Workflows	"[""ENA"", ""Internal"", ""ENA Analysis"", ""VJDB Analysis"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid																	optional	optional			text	freetext	0ba		metadata	range	
assembly_program	Assembly Program	The program used for genome assembly.	keyword	private	assembly_program	assembler_software	assembly program		assembly_software				Assembly Method							ENA Analysis	VJDB Analysis	Internal		Workflows	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""Internal"", ""ENA Analysis"", ""VJDB Analysis"", ""Workflows""]"	BVBRC		keep internally	Not in VJDB, Completly new due to byCovid					Sequence Info		assembly_method	string_ci		not in the bvbrc api							mandatory	mandatory		Free text	text	freetext	0bb		metadata	exact fuzzy	
assembly_type	Assembly Type	Identifier on how to treat the submitted assembly. Currently only assemblies from ‘clone or isolate’ are permitted.	keyword	private	assembly_type		assembly_type													ENA Analysis	VJDB Analysis	Internal		Workflows	"[""ENA"", ""Internal"", ""ENA Analysis"", ""VJDB Analysis"", ""Workflows""]"		"for submission this is always ""clone or isolate""; "	keep internally	Not in VJDB, Completly new due to byCovid																	mandatory	mandatory	clone or isolate	"Defined list of values, for submissions it is always ""clone or isolate""(!)"	combo	controlled_vocabulary	0bc		metadata	exact	
bvbrc_accession_id	BV-BRC Accession	Accession of the sequence in the BV-BRC database.	keyword	public	bvbrc_accession_id	bvbrc_id							Genome ID									Study	Identifier		"[""BV-BRC"", ""Study"", ""Identifier""]"	BVBRC	no example needed	Change id and name to BVBRC_genome_id						General Info		genome_id	string													text	unique	0bd		metadata	exact	default search
collecting_institute	Collecting Organization	Name of the institution/affiliation to which the person collecting the sample belongs	keyword	internal	collecting_institute		collecting institution							collecting institution	collecting institution					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"		conform with submitter organization; not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address			(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address		TEXT_AREA_FIELD	mandatory	mandatory		Free text	text	freetext	0be		metadata	full fuzzy	
collection_host_health_state	Host Health State	Health state of the host at the time of sample collection, e.g. diseased or healthy	keyword	internal	collection_host_health_state		host health state							host health state	host health state					ENA Sample	VJDB Sample	Host	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Health status of the host at the time of sample collection.			(Mandatory) Health status of the host at the time of sample collection.		TEXT_CHOICE_FIELD	mandatory	mandatory	diseased; healthy	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0bf		metadata	exact fuzzy	
collection_location_latitude	Latitude	The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)	geo_point	internal	collection_location_latitude		geographic location (latitude)		lat_lon					geographic location (latitude)	geographic location (latitude)					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD)			"(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system Units: 
"		TEXT_FIELD	recommended	recommended	-18.54; 68.277	Coordinates in DD format. Decimal number between  -90 and 90. 90 and -90 work without decimals.	text	unique	0bg		metadata	exact	
collection_location_longitude	Longitude	The geographic location by longitude, where the sample the sequence originates from was collected/sampled. (DD)	geo_point	internal	collection_location_longitude		geographic location (longitude)		lat_lon					geographic location (longitude)	geographic location (longitude)					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD)			"(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system Units: 
"		TEXT_FIELD	recommended	recommended	-102.35; 22.6	Coordinates in DD format. Decimal number between  -180 and 180. 180 and -180 work without decimals.	text	unique	0bh		metadata	exact	
collection_region	Collection Region	Continent where the sample the sequence originates from was collected/sampled.	keyword	internal	collection_region																	Sample	Collection		"[""Sample"", ""Collection""]"	no source	Region unclear -> Check again where it came from, recheck naming and vocabulary, INSDC country list contains the oceans; Name suggestions macroregion or georegion; no direct source but constructable (group countries into clusters); 	remove																				Asia	Defined list fo regions(!)	text	freetext	0bi		metadata	full fuzzy	
collection_source_environment	Collection Source Environment	Describes the physical, environmental or local geographical source of the sample, e.g. soil	keyword	internal	collection_source_environment	host_tissue	isolation source non-host-associated		env_medium? more or less					isolation source non-host-associated	isolation source non-host-associated					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"		as it is, for revision with data; not sure	collection_source_non-host_associated					split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue							(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil			(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil		TEXT_FIELD	recommended	recommended			suggestion	freetext	0bj		metadata	full fuzzy	
collector_name	Collector Name	Name of the person that collected the sample	keyword	internal	collector_name		collector name							collector name	collector name					ENA Sample	VJDB Sample	Sample	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Name of the person who collected the specimen. example: john smith			(Mandatory) Name of the person who collected the specimen. example: john smith		TEXT_AREA_FIELD	mandatory	mandatory	Zuckerman,N.	Free text	text	freetext	0bk		metadata	full fuzzy	
cutoff_for_seropositive_sample	Cutoff for Seropositive Sample	The cuttoff used to determine if the sample is seropositive.	float	internal	cutoff_for_seropositive_sample		definition for seropositive sample							definition for seropositive sample	definition for seropositive sample					ENA Sample	VJDB Sample	Sample	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.			(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.		TEXT_FIELD	recommended	recommended			text	freetext	0bl		metadata	exact	
experiment_accession_id	Experiment Accession	References an ENA assembly to an ENA Experiment.	keyword	internal	experiment_accession_id		experiment accession?															Organizational	Identifier		"[""ENA"", ""Organizational"", ""Identifier""]"		no example needed	keep internally	Not in VJDB, Completly new due to byCovid																					text	unique	0bm		metadata	exact	
host_behaviour	Host Behaviour	Natural behaviour of the sampled host.	keyword	internal	host_behaviour		host behaviour							host behaviour	host behaviour					ENA Sample	VJDB Sample	Host	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Natural behaviour of the host.			(Recommended) Natural behaviour of the host.		TEXT_CHOICE_FIELD	recommended	recommended	domestic; wild	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0bn		metadata	exact fuzzy	
host_disease	Host Disease	The hosts main disease diagnosis.	keyword	internal	host_disease	disease																Host	Clinical		"[""Host"", ""Clinical""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid																					text	freetext	0bo		metadata	exact fuzzy	
host_disease_outcome	Host Disease Outcome	The hosts disease outcome. Did the host recover from the disease?	keyword	internal	host_disease_outcome		host disease outcome							host disease outcome	host disease outcome					ENA Sample	VJDB Sample	Host	Clinical		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Disease outcome in the host.			(Recommended) Disease outcome in the host.		TEXT_CHOICE_FIELD	recommended	recommended	recovered; dead	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0bp		metadata	exact fuzzy	
host_disease_symptoms	Host Disease Symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.	keyword	internal	host_disease_symptoms		illness symptoms															Host	Clinical		"[""ENA"", ""Host"", ""Clinical""]"			keep internally	Not in VJDB, Completly new due to byCovid																	optional	optional	fever; headache; runny_nose	Free text	suggestion	unique	0bq		metadata	exact fuzzy	
host_group	BV-BRC Host Group	The host's broader group association in a taxonomic context from BV-BRC.	keyword	public	host_group	host_group							Host Group									Sample		Host	"[""BV-BRC"", ""Sample"", ""Host""]"	BVBRC								Host Info		host_group	string_ci											vertebrates; plants	Defined list of values, provided by the BVBRC(!)	suggestion	freetext	0br		metadata	full fuzzy	
host_habitat	Host Habitat	Natural habitat of the avian or mammalian host	keyword	internal	host_habitat		host habitat							host habitat	host habitat					ENA Sample	VJDB Sample	Host	Collection		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Collection""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Natural habitat of the avian or mammalian host.			(Recommended) Natural habitat of the avian or mammalian host.		TEXT_CHOICE_FIELD	recommended	recommended	domestic:free-range farm; wild:resident	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0bs		metadata	exact fuzzy	
